ain3[N],ain4[N],ain5[N]
0.000,2.840,2.469
0.000,2.840,2.469
0.000,2.302,2.384
0.000,2.302,2.384
0.000,2.302,2.384
0.000,2.072,2.302
0.000,2.072,2.302
0.000,1.834,2.184
0.000,1.834,2.184
0.000,2.001,2.146
0.000,2.001,2.146
0.000,2.262,2.223
0.000,2.262,2.223
0.000,2.262,2.109
0.000,2.262,2.109
0.000,1.710,1.932
0.000,1.710,1.932
0.000,1.710,1.932
0.000,1.710,1.932
0.000,1.680,2.001
0.000,1.680,2.001
0.000,1.594,2.262
0.000,1.594,2.262
0.000,1.594,2.648
0.000,1.594,2.648
0.688,1.966,4.173
0.688,1.966,4.173
0.688,2.426,5.719
0.688,2.426,5.719
0.688,2.512,5.332
0.688,2.512,5.332
0.688,2.384,3.154
0.688,2.384,3.154
0.000,1.802,2.426
0.000,1.802,2.426
0.000,1.680,1.802
0.000,1.680,1.802
0.000,1.512,1.866
0.000,1.512,1.866
0.000,1.512,1.899
0.000,1.512,1.899
0.000,1.539,1.932
0.000,1.539,1.932
0.000,1.594,2.001
0.000,1.594,2.001
0.000,1.594,1.770
0.000,1.594,1.770
0.000,1.512,1.460
0.000,1.512,1.460
0.000,1.539,1.410
0.000,1.539,1.410
0.000,1.486,1.486
0.000,1.338,1.622
0.000,1.338,1.622
0.000,1.338,1.622
0.000,1.270,1.085
0.000,1.270,1.085
0.000,1.143,1.226
0.000,1.143,1.226
0.000,1.270,1.270
0.000,1.270,1.270
0.000,1.338,1.292
0.000,1.386,1.386
0.000,1.386,1.386
0.000,1.386,1.386
0.000,1.362,1.435
0.000,1.410,1.460
0.000,1.410,1.460
0.000,1.435,1.512
0.000,1.435,1.512
0.000,1.486,1.512
0.000,1.486,1.512
0.000,1.460,1.512
0.000,1.460,1.512
0.000,1.460,1.539
0.000,1.460,1.539
0.000,1.460,1.539
0.000,1.460,1.539
0.000,1.338,1.362
0.000,1.292,1.386
0.000,1.315,1.362
0.000,1.315,1.410
0.000,1.292,1.410
0.000,1.362,1.512
0.000,1.512,1.486
0.000,1.740,2.001
0.000,1.866,2.146
0.000,2.001,2.109
0.000,2.302,2.109
0.000,2.557,2.184
0.000,2.648,2.384
0.000,2.648,2.602
0.000,2.648,2.602
0.000,2.648,2.695
0.000,2.648,2.695
0.000,2.648,2.695
0.000,2.648,2.695
0.000,2.648,2.695
0.000,2.602,2.512
0.000,2.602,2.512
0.000,2.602,2.512
0.000,2.648,2.512
0.000,2.648,2.512
0.000,2.648,2.469
0.000,2.648,2.469
0.000,2.602,2.426
0.000,2.602,2.426
0.000,2.602,2.469
0.000,2.602,2.469
0.000,2.602,2.469
0.000,2.695,2.602
0.000,2.695,2.602
0.000,2.742,2.648
0.000,2.742,2.648
0.000,2.742,2.791
0.000,2.742,2.791
0.000,2.695,2.890
0.000,2.695,2.890
0.000,2.742,2.840
0.000,2.742,2.840
0.000,2.742,2.840
0.000,2.742,2.840
0.000,2.791,2.840
0.000,2.791,2.840
0.000,2.840,2.602
0.000,2.840,2.602
0.000,2.840,2.557
0.000,2.840,2.557
0.000,2.742,2.557
0.000,2.742,2.557
0.000,2.742,2.557
0.000,2.742,2.648
0.000,2.742,2.648
0.000,2.742,2.648
0.000,2.742,2.648
0.000,2.695,2.742
0.000,2.742,2.742
0.000,2.695,2.791
0.000,2.742,2.742
0.000,2.742,2.742
0.000,2.742,2.742
0.000,2.840,2.695
0.000,2.840,2.695
0.000,2.840,2.557
0.000,2.840,2.557
0.000,2.890,2.469
0.000,2.890,2.469
0.000,2.941,2.384
0.000,2.993,2.343
0.000,2.993,2.343
0.000,2.993,2.384
0.000,2.993,2.384
0.000,2.993,2.426
0.000,2.993,2.426
0.000,3.046,2.343
0.000,3.046,2.343
0.000,3.099,2.469
0.000,3.099,2.469
0.000,3.324,2.602
0.000,3.324,2.602
0.000,3.503,2.695
0.000,3.503,2.695
0.000,3.628,2.890
0.000,3.628,2.890
0.000,3.628,3.099
0.000,3.628,3.099
0.000,3.891,3.324
0.000,3.891,3.324
0.000,3.824,3.565
0.000,3.824,3.565
0.000,4.173,4.173
0.000,4.173,4.173
0.688,4.398,4.635
0.688,4.398,4.635
0.688,4.476,5.240
0.688,4.476,5.240
0.688,4.476,6.242
0.688,4.476,6.242
0.688,4.885,6.352
0.688,4.885,6.352
0.688,4.801,7.180
0.688,4.972,7.567
0.688,4.972,7.567
0.688,5.522,7.567
0.688,5.522,7.567
0.688,5.240,7.567
0.688,4.717,7.180
0.688,4.717,7.180
0.688,3.824,7.567
