Time[s],ain0[N],ain1[N],ain2[N],ain3[N],ain4[N],ain5[N],ain6[N],ain7[N],count
2101.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2101.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2102.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2102.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2102.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2102.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2102.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2102.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2102.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2102.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2102.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2102.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2102.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2102.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2103.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2103.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2103.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2103.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2103.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2103.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2103.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2103.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2103.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2103.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2104.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2104.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2104.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2104.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2104.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2104.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2104.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2104.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2104.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2104.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2105.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2105.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2105.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2105.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2105.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2105.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2105.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2105.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2105.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2105.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2105.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2105.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2106.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2106.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2106.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2106.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2106.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3
2106.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4
2106.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4
2106.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4
2106.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4
2106.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4
2106.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4
2107.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4
2107.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4
2107.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4
2107.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4
2107.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4
2107.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4
2107.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4
2107.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4
2107.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4
2107.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4
2107.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4
2107.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4
2107.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4
2108.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4
2108.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4
2108.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4
2108.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4
2108.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4
2108.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4
2108.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4
2108.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4
2108.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4
2108.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4
2108.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4
2108.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4
2108.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4
2109.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4
2109.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4
2109.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4
2109.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4
2109.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2109.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2109.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2109.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2109.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2109.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2109.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2109.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2109.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2110.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2110.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2110.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2110.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2110.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2110.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2110.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2110.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2110.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2110.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2110.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2110.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
