ain3[N],ain4[N],ain5[N]
0.000,1.205,1.184
0.000,1.184,1.184
0.000,1.184,1.184
0.000,1.184,1.184
0.000,1.184,1.184
0.000,1.184,1.184
0.000,1.184,1.184
0.000,1.184,1.184
0.000,1.184,1.184
0.000,1.184,1.184
0.000,1.205,1.184
0.000,1.205,1.184
0.000,1.184,1.163
0.000,1.184,1.163
0.000,1.205,1.184
0.000,1.205,1.184
0.000,1.205,1.184
0.000,1.226,1.184
0.000,1.226,1.184
0.000,1.205,1.184
0.000,1.205,1.184
0.000,1.205,1.184
0.000,1.205,1.184
0.000,1.226,1.184
0.000,1.226,1.184
0.000,1.226,1.205
0.000,1.226,1.205
0.000,1.248,1.205
0.000,1.248,1.205
0.000,1.248,1.184
0.000,1.248,1.184
0.000,1.270,1.184
0.000,1.270,1.184
0.000,1.270,1.163
0.000,1.270,1.163
0.000,1.248,1.184
0.000,1.248,1.184
0.000,1.270,1.184
0.000,1.270,1.184
0.000,1.270,1.184
0.000,1.270,1.205
0.000,1.270,1.205
0.000,1.270,1.184
0.000,1.270,1.184
0.000,1.270,1.184
0.000,1.270,1.184
0.000,1.270,1.184
0.000,1.270,1.184
0.000,1.270,1.184
0.000,1.270,1.184
0.000,1.270,1.184
0.000,1.270,1.184
0.000,1.315,1.205
0.000,1.315,1.205
0.000,1.292,1.184
0.000,1.292,1.184
0.000,1.338,1.184
0.000,1.338,1.184
0.000,1.315,1.205
0.000,1.315,1.205
0.000,1.315,1.163
0.000,1.315,1.163
0.000,1.315,1.163
0.000,1.315,1.163
0.000,1.315,1.184
0.000,1.315,1.184
0.000,1.315,1.184
0.000,1.315,1.205
0.000,1.315,1.205
0.000,1.315,1.184
0.000,1.315,1.184
0.000,1.435,1.315
0.000,1.386,1.315
0.000,1.386,1.315
0.000,1.362,1.315
0.000,1.362,1.315
0.000,1.386,1.315
0.000,1.362,1.315
0.000,1.386,1.338
0.000,1.410,1.338
0.000,1.386,1.338
0.000,1.386,1.338
0.000,1.386,1.338
0.000,1.386,1.338
0.000,1.386,1.338
0.000,1.386,1.338
0.000,1.386,1.338
0.000,1.386,1.338
0.000,1.386,1.338
0.000,1.410,1.338
0.000,1.410,1.338
0.000,1.410,1.338
0.000,1.386,1.338
0.000,1.386,1.338
0.000,1.386,1.362
0.000,1.386,1.362
0.000,1.362,1.338
0.000,1.362,1.338
0.000,1.362,1.338
0.000,1.386,1.362
0.000,1.386,1.362
0.000,1.386,1.362
0.000,1.362,1.362
0.000,1.362,1.362
0.000,1.362,1.362
0.000,1.386,1.362
0.000,1.386,1.362
0.000,1.362,1.362
0.000,1.362,1.362
0.000,1.362,1.362
0.000,1.362,1.362
0.000,1.362,1.362
0.000,1.362,1.362
0.000,1.386,1.362
0.000,1.386,1.362
0.000,1.362,1.362
0.000,1.362,1.362
0.000,1.362,1.362
0.000,1.362,1.362
0.000,1.362,1.362
0.000,1.386,1.362
0.000,1.386,1.362
0.000,1.386,1.386
0.000,1.386,1.386
0.000,1.386,1.386
0.000,1.386,1.386
0.000,1.386,1.386
0.000,1.386,1.362
0.000,1.386,1.362
0.000,1.386,1.362
0.000,1.386,1.362
0.000,1.386,1.362
0.000,1.410,1.362
0.000,1.410,1.362
0.000,1.410,1.362
0.000,1.410,1.362
0.000,1.410,1.362
0.000,1.410,1.386
0.000,1.410,1.386
0.000,1.410,1.386
0.000,1.410,1.386
0.000,1.410,1.386
0.000,1.410,1.362
0.000,1.410,1.362
0.000,1.410,1.386
0.000,1.410,1.386
0.000,1.410,1.386
0.000,1.410,1.362
0.000,1.410,1.362
0.000,1.410,1.362
0.000,1.410,1.362
0.000,1.410,1.362
0.000,1.410,1.362
0.000,1.410,1.362
0.000,1.410,1.362
0.000,1.410,1.362
0.000,1.435,1.362
0.000,1.435,1.362
0.000,1.435,1.362
0.000,1.435,1.362
0.000,1.435,1.362
0.000,1.435,1.386
0.000,1.435,1.386
0.000,1.435,1.362
0.000,1.435,1.362
0.000,1.435,1.362
0.000,1.435,1.362
0.000,1.435,1.362
0.000,1.460,1.362
0.000,1.460,1.362
0.000,1.362,1.362
0.000,1.362,1.362
0.000,1.270,1.435
0.000,1.270,1.435
0.000,1.270,1.435
0.688,1.566,1.770
0.688,1.566,1.770
0.688,1.740,1.770
0.688,1.740,1.770
0.688,1.740,1.770
0.688,2.037,2.426
0.688,2.037,2.426
0.700,2.840,3.210
0.700,2.840,3.210
0.700,3.628,4.030
0.700,3.628,4.030
0.700,3.628,4.030
0.700,5.332,3.891
0.700,5.332,3.891
0.700,5.332,3.891
0.700,6.578,4.173
0.700,6.578,4.173
0.700,8.704,4.398
0.700,8.704,4.398
0.700,8.704,4.398
0.713,10.011,4.322
0.713,10.011,4.322
0.700,11.120,4.322
0.700,11.120,4.322
0.700,8.115,3.891
0.700,8.115,3.891
0.688,3.757,3.099
0.688,3.757,3.099
0.688,3.757,3.099
